Nachos:             Total quantity sold: 0  Total sales: $0.00
Walking Tacos:      Total quantity sold: 1  Total sales: $5.25
Mountain Melter:    Total quantity sold: 0  Total sales: $0.00
Chocolate Bar:      Total quantity sold: 0  Total sales: $0.00
Chippos:            Total quantity sold: 0  Total sales: $0.00
Turkey Sandwich:    Total quantity sold: 0  Total sales: $0.00
Papsi:              Total quantity sold: 0  Total sales: $0.00
Caramel Bar:        Total quantity sold: 0  Total sales: $0.00
Popcorn:            Total quantity sold: 0  Total sales: $0.00
Veggie Wrap:        Total quantity sold: 0  Total sales: $0.00
7Down:              Total quantity sold: 0  Total sales: $0.00
Chewy Bar:          Total quantity sold: 0  Total sales: $0.00
Preengles:          Total quantity sold: 1  Total sales: $2.35
Burrito:            Total quantity sold: 0  Total sales: $0.00
Ginger Ayle:        Total quantity sold: 0  Total sales: $0.00
After Lunch Mints:  Total quantity sold: 0  Total sales: $0.00
Total gross sales: $7.60
